x-position,y-position,real part of ef,imaginary part of ef,reduced shear
  -0.12104,  -0.98063,   0.30159,   0.22545,  0.176796
  -0.92866,   0.20970,  -0.18124,  -0.05010,  0.183451
   1.51863,  -1.36828,  -0.32684,   0.38476,  0.081471
   1.63303,   1.97985,  -0.07592,  -0.20978,  0.062320
   1.18517,  -0.75010,  -0.10226,  -0.14674,  0.123425
  -0.88469,   0.41313,  -0.39342,  -0.30540,  0.178902
   1.81560,  -1.16497,  -0.12119,   0.28790,  0.076557
  -0.97693,  -1.50909,  -0.36933,  -0.27246,  0.094230
   0.15880,   1.65411,   0.35737,  -0.24112,  0.102806
   0.79156,   0.57435,  -0.23577,  -0.05652,  0.178614
  -1.73778,   0.83309,  -0.10516,  -0.05749,  0.087138
   1.47644,  -1.79234,  -0.29550,   0.20261,  0.070225
  -0.92615,   0.26279,  -0.46693,   0.19854,  0.181432
  -0.13624,  -0.32188,   0.10447,  -0.54016,  0.512283
   1.05796,   1.71411,   0.16970,   0.35130,  0.082855
  -0.62443,   1.24644,   0.64429,   0.27071,  0.124221
  -1.01047,  -1.09411,   0.25174,  -0.45872,  0.115778
   0.80521,   1.81110,   0.29746,  -0.01729,  0.084399
  -1.98344,   1.91357,   0.00647,   0.45231,  0.057147
  -0.49464,   1.47229,   0.27481,  -0.49077,  0.110661
   0.09038,   0.33354,   0.37765,  -0.21224,  0.519379
  -0.44668,  -0.17518,   0.01783,  -0.50328,  0.360947
   0.13214,  -1.60404,   0.23378,   0.28497,  0.106462
   1.27260,   1.65050,   0.29793,  -0.31689,  0.079673
  -0.93440,   0.33243,  -0.55679,   0.33344,  0.176139
  -1.55119,   0.74922,   0.22630,  -0.55982,  0.098805
   1.16667,   1.50372,  -0.24956,  -0.04813,  0.088379
  -1.77959,   1.73321,  -0.28433,  -0.26647,  0.064811
   0.74488,   1.21042,  -0.15230,  -0.26779,  0.121707
   1.48988,  -0.41559,   0.01076,  -0.57812,  0.111157
   1.83084,  -0.77307,  -0.24984,   0.17486,  0.084141
  -0.55073,  -0.89673,   0.11021,  -0.22907,  0.165985
   1.35493,   0.67623,  -0.06999,   0.19380,  0.113728
   0.29728,   0.24514,  -0.01169,  -0.42984,  0.457136
   0.21346,  -0.24409,  -0.19696,   0.52910,  0.562202
  -1.91810,   1.27744,  -0.31513,  -0.50287,  0.070858
  -0.54793,  -0.07670,  -0.52853,  -0.22400,  0.312447
  -0.53677,  -1.29653,   0.19584,   0.15364,  0.123365
   0.10088,  -0.70568,   0.21657,  -0.14246,  0.243615
   1.96361,   0.08255,   0.14465,   0.13383,  0.085217
  -0.29584,  -1.44723,  -0.05668,   0.37603,  0.116801
   1.71887,  -1.60377,  -0.56827,  -0.49630,  0.069211
   0.43199,  -0.62916,  -0.21382,  -0.22579,  0.227941
  -1.82333,   1.70747,   0.17464,   0.48954,  0.064380
   1.65797,  -1.90116,   0.07803,  -0.42615,  0.063628
   0.71438,   1.06370,   0.04632,   0.36541,  0.135718
   1.09541,   0.22096,  -0.18993,   0.07881,  0.156210
   0.36647,  -1.79782,  -0.10702,  -0.33809,  0.092101
  -0.52634,  -1.06753,  -0.09825,   0.03030,  0.146467
   0.92446,   0.50799,   0.10566,   0.29914,  0.165589
  -1.38770,   1.14674,  -0.01074,   0.21425,  0.094084
   0.31999,  -1.51445,  -0.14149,  -0.18497,  0.111068
   0.91601,  -1.82372,  -0.05937,   0.17588,  0.081621
  -0.33945,   1.66195,   0.50227,  -0.61063,  0.100504
  -1.27373,  -0.39876,  -0.02533,  -0.13426,  0.130054
  -1.09597,  -0.73200,   0.26702,  -0.41814,  0.131786
   1.81251,   0.39195,  -0.58048,  -0.08023,  0.091008
  -0.98968,   1.39990,   0.18245,   0.23766,  0.099330
   0.34848,   0.62242,  -0.00259,   0.07323,  0.243455
  -1.28273,  -1.48278,  -0.07137,   0.01688,  0.085450
  -1.23464,  -1.05815,  -0.18890,  -0.27691,  0.105278
   0.58564,   0.65997,  -0.27193,  -0.15240,  0.197760
   0.69498,   0.01719,  -0.31932,  -0.25936,  0.249646
  -0.33567,   1.46204,   0.11711,  -0.17294,  0.114889
  -0.49418,  -1.06829,   0.40185,  -0.30678,  0.148150
  -1.13231,  -1.78042,  -0.34320,   0.10145,  0.078547
  -1.36741,   1.20135,  -0.12964,  -0.46281,  0.092930
   0.26609,  -0.65953,   0.27353,   0.12355,  0.244172
  -1.28830,  -0.84962,  -0.02084,  -0.13750,  0.111431
  -1.49375,   1.38006,   0.02852,  -0.32787,  0.081951
  -0.68771,  -1.83759,   0.23365,  -0.58395,  0.085379
  -1.28405,  -1.92883,   0.15697,   0.26022,  0.070404
   1.21453,  -0.87060,  -0.17402,  -0.14939,  0.115362
   0.39263,  -0.76700,   0.07726,   0.17339,  0.202430
   1.07419,  -1.46429,  -0.16720,   0.03835,  0.093167
   0.75556,  -0.93336,   0.31560,   0.02405,  0.145138
  -0.41701,   1.46884,  -0.12859,   0.65298,  0.112719
  -0.81570,   1.74123,   0.06052,   0.06962,  0.087361
   0.06696,  -1.44625,   0.17910,  -0.22000,  0.119334
   1.16683,  -1.89287,   0.26486,   0.35661,  0.073897
  -1.59666,   0.11283,  -0.45404,  -0.05483,  0.107102
  -0.03802,   0.60327,   0.54165,   0.58074,  0.286252
  -0.47523,  -0.06040,  -0.10427,  -0.34880,  0.361527
   1.47173,   1.14820,   0.16738,   0.30444,  0.090337
   1.90694,  -1.44533,   0.19476,   0.19632,  0.067776
   1.34881,   1.15886,   0.20321,   0.17474,  0.095379
  -1.95085,   1.63382,   0.16137,   0.17796,  0.062964
   0.31913,  -1.90089,  -0.49268,  -0.08159,  0.087121
   1.54406,   0.04070,  -0.50517,   0.23732,  0.111325
   1.34173,   1.08711,   0.28501,   0.46615,  0.098538
   1.74685,   1.08073,  -0.18189,   0.15347,  0.081015
   0.04119,   0.41680,   0.47899,  -0.10707,  0.416736
  -1.00311,  -0.22085,   0.26823,  -0.37332,  0.170075
   0.08942,   1.10159,   0.32043,   0.03675,  0.157969
   1.27457,   0.70140,   0.29609,  -0.34113,  0.118720
  -0.34212,  -1.97359,  -0.16659,   0.08002,  0.083390
  -1.20084,  -0.56544,  -0.19804,   0.06352,  0.130813
   1.76234,  -1.40103,   0.07187,  -0.09009,  0.072830
  -1.54630,  -1.63042,  -0.11438,   0.27920,  0.072994
  -0.36224,   1.35433,   0.01923,   0.42133,  0.123487
  -0.43281,  -1.67837,  -0.37335,   0.13926,  0.098135
   0.72247,   0.32434,  -0.15205,  -0.48896,  0.219864
   1.58595,  -0.03957,  -0.04182,  -0.26229,  0.108146
  -0.39849,   0.16387,  -0.15964,   0.37380,  0.404166
  -0.75512,  -1.67170,   0.00506,  -0.41407,  0.092127
  -0.10224,  -0.30789,   0.51814,  -0.38329,  0.561858
   0.43361,  -0.52168,   0.07244,   0.17982,  0.255687
  -1.07622,   1.88549,   0.01141,   0.30296,  0.075990
  -1.81413,   0.82196,   0.06726,  -0.46412,  0.083934
  -1.12848,  -0.95081,   0.17502,  -0.50413,  0.116930
  -0.11551,  -0.23190,   0.66332,  -0.40628,  0.774031
  -0.00052,   1.45872,   0.33509,   0.29227,  0.118381
   0.60766,  -0.59459,  -0.11707,  -0.01080,  0.205113
   0.71849,   0.86399,   0.20798,  -0.09207,  0.155331
   1.74699,  -0.49843,   0.21724,  -0.17605,  0.093129
  -1.27193,   1.25299,  -0.62060,   0.01261,  0.094953
  -1.01453,  -0.40990,  -0.05615,  -0.34394,  0.159578
  -0.19777,  -0.64701,   0.20571,  -0.46821,  0.256347
   1.88465,  -1.29345,   0.11970,   0.28906,  0.071543
  -1.25703,   1.64952,   0.00705,  -0.35453,  0.080127
   0.48421,  -0.50392,  -0.09835,  -0.17741,  0.248369
   0.83987,   0.85436,  -0.17907,   0.02953,  0.145486
  -1.36052,   1.16783,   0.21751,   0.46971,  0.094506
  -1.15151,   0.67991,  -0.25156,  -0.07786,  0.129792
   1.65200,   1.97458,  -0.22240,   0.03037,  0.062085
   0.03046,   0.50760,   0.52593,  -0.06229,  0.340101
  -0.14281,  -1.98075,  -0.01812,  -0.00428,  0.084212
  -1.82837,  -1.93959,  -0.56214,   0.11076,  0.059525
   0.74466,  -0.73716,  -0.04067,   0.10543,  0.166705
   1.22861,   1.12731,  -0.02216,  -0.44928,  0.102419
   0.66049,  -0.58075,   0.30078,   0.16711,  0.198390
  -0.55279,  -0.56794,   0.09851,   0.01284,  0.219697
   0.90670,  -0.33132,   0.08706,   0.18269,  0.180941
   1.93578,   0.45062,  -0.42229,  -0.47795,  0.084133
  -1.41263,   0.79489,  -0.32163,   0.43463,  0.105642
   0.14116,  -0.98783,   0.04592,   0.33773,  0.175066
   1.14964,   1.26060,   0.30268,  -0.03200,  0.099865
  -0.45385,   1.00208,   0.21590,   0.06782,  0.158718
   0.47947,  -0.63261,   0.01467,   0.23243,  0.219363
   1.29146,   1.99616,   0.10093,   0.08156,  0.068293
   1.87964,   1.16763,   0.06327,  -0.50872,  0.074320
   1.84341,  -1.03997,   0.01970,  -0.20059,  0.078266
  -1.08287,   0.06025,  -0.20044,   0.01528,  0.161017
  -0.57641,   0.95980,  -0.52002,  -0.08939,  0.155912
   1.53037,   0.83853,  -0.18597,  -0.26153,  0.097401
   0.37856,  -1.63130,  -0.20307,  -0.36108,  0.101934
   1.69721,   0.67145,  -0.25112,  -0.49654,  0.092644
  -0.81539,   1.45930,   0.26817,   0.03736,  0.102134
   1.56188,  -1.34020,  -0.00485,   0.11270,  0.080837
   0.34186,   1.79742,   0.05070,  -0.28567,  0.092392
   1.80894,  -0.99452,  -0.30077,   0.38402,  0.080556
   1.01033,   0.33722,  -0.44329,   0.04524,  0.163980
   0.19835,  -0.41340,  -0.01662,   0.47865,  0.378370
  -0.91165,   0.67409,   0.55898,   0.27091,  0.153923
  -0.83458,  -1.01875,   0.06909,  -0.35949,  0.131890
   1.72538,  -0.68203,   0.24687,   0.73848,  0.090959
  -1.75171,  -0.84940,   0.00951,   0.30745,  0.086141
  -0.27059,   1.39299,  -0.03878,  -0.00346,  0.121910
  -1.46587,   0.76859,   0.00795,   0.49743,  0.103253
  -0.74434,  -0.63796,  -0.07997,  -0.07022,  0.178188
  -0.99582,   1.46049,  -0.06658,  -0.12291,  0.096016
  -1.13154,  -1.78409,  -0.27134,  -0.11574,  0.078431
  -1.23098,   1.36241,   0.45983,   0.26062,  0.092024
  -0.04244,  -1.73804,   0.10469,   0.12130,  0.097804
  -0.71519,  -1.60300,  -0.13593,  -0.27225,  0.096769
  -1.15139,  -0.58840,   0.30350,  -0.01369,  0.134439
   0.05850,  -0.37602,   0.25175,   0.65341,  0.463660
  -0.36885,   1.58683,  -0.68591,  -0.08087,  0.105060
   1.25008,  -1.36129,   0.20896,  -0.54400,  0.091352
   0.16557,  -1.25922,   0.34130,   0.22806,  0.136971
  -0.72855,  -0.44221,  -0.13025,  -0.28205,  0.204621
   1.91274,  -1.36829,   0.08760,  -0.09720,  0.069180
  -0.62651,   0.35234,  -0.08068,  -0.06610,  0.241655
  -1.03934,   0.44435,  -0.02058,   0.17808,  0.154402
   0.06560,  -0.47180,   0.34486,  -0.01456,  0.363658
  -0.41190,   1.12012,  -0.15864,  -0.05148,  0.146062
   1.43113,   0.47656,  -0.30973,   0.44734,  0.114208
  -0.37374,   0.27727,  -0.39034,   0.34314,  0.372564
  -0.15561,   1.22500,   0.14770,  -0.02356,  0.141020
  -0.65115,   1.26695,   0.00974,   0.06064,  0.121414
   0.25458,  -0.29749,   0.37831,   0.03445,  0.448926
  -1.32312,  -0.94658,  -0.32886,   0.03736,  0.105221
  -1.40750,   0.54514,   0.07651,  -0.71273,  0.114128
  -0.74727,   1.16622,   0.51202,   0.31578,  0.125077
  -1.58884,  -0.46959,   0.06274,  -0.09684,  0.103142
   1.51337,  -1.97566,  -0.05401,  -0.36845,  0.064669
  -0.94655,  -0.05695,  -0.10818,  -0.40874,  0.184176
   1.25829,   1.05871,  -0.07573,   0.38210,  0.103991
  -0.47377,  -0.03427,  -0.19876,   0.08097,  0.364710
  -0.91548,  -1.86087,  -0.38964,  -0.48155,  0.080128
   0.45665,   0.96332,   0.54838,  -0.46684,  0.163832
  -0.29710,   0.62342,   0.10377,   0.30759,  0.251265
  -0.29491,  -0.40565,   0.25792,  -0.29348,  0.344930
  -0.21652,  -1.38246,   0.22220,  -0.42787,  0.123732
  -0.79606,   1.25159,   0.15194,   0.03441,  0.116283
  -0.53377,  -0.11502,  -0.34011,   0.01711,  0.316585
   0.90204,   1.75501,   0.09663,   0.46351,  0.084827
  -0.64488,  -0.31223,  -0.45835,  -0.19679,  0.242409
   1.75745,  -1.67487,  -0.08220,   0.27141,  0.066616
   0.33506,  -1.75366,   0.33395,   0.40708,  0.094956
  -1.90956,  -1.67932,  -0.32265,   0.60184,  0.063015
   1.53486,  -0.62272,  -0.20443,   0.48212,  0.103169
  -0.09408,   1.58919,  -0.05683,  -0.32501,  0.107737
   1.77434,  -1.09434,   0.06672,   0.13295,  0.079649
  -1.10887,   1.40921,  -0.22747,   0.37212,  0.094496
  -0.21426,   1.66303,   0.20624,   0.14341,  0.101791
  -0.84554,   1.79674,   0.23040,   0.41088,  0.084219
   1.86670,  -1.91911,   0.08494,   0.07336,  0.059208
   0.25594,  -1.79031,   0.00100,   0.20618,  0.093601
  -1.57597,  -1.07804,   0.08812,  -0.01455,  0.088056
   0.14673,   1.25804,   0.75190,   0.02026,  0.137363
   1.60787,  -1.77045,   0.02316,   0.20808,  0.067815
  -0.72431,   0.45365,  -0.03255,  -0.11349,  0.204059
  -0.57804,  -1.45235,   0.13814,  -0.20553,  0.109895
  -1.14358,  -0.46298,  -0.27811,  -0.52368,  0.141150
  -0.79476,  -0.40130,  -0.34248,   0.41400,  0.196016
  -1.72843,   0.84091,  -0.30483,   0.08218,  0.087396
   1.88470,  -1.03360,   0.25738,  -0.51325,  0.076875
  -1.01684,   1.78027,  -0.14617,   0.45830,  0.081193
  -0.08870,   0.34259,   0.51146,   0.24920,  0.504701
  -0.17744,   1.79375,   0.20433,  -0.13523,  0.093950
   0.08230,   0.46749,   0.31484,  -0.13234,  0.364968
  -1.07680,  -0.99864,   0.18813,   0.17980,  0.117530
  -1.24654,   0.58399,  -0.09763,  -0.01514,  0.125896
   0.68190,  -0.98419,  -0.00164,  -0.06888,  0.145575
   0.06367,  -1.61577,   0.21021,  -0.02021,  0.105920
   1.14843,   0.00236,  -0.36198,   0.10542,  0.151925
  -0.63810,   1.18495,   0.21966,  -0.04834,  0.128923
  -1.68133,  -1.76708,  -0.33946,  -0.30654,  0.066244
